CUST_ID;GENDER;MARITAL_STATUS;AGE;AVG_BALANCE;NUM_TRANS;PURCHASES_AMOUNT;ACCESSORIES;APPLIANCES;CULTURE;GAS;BOOKS;APPAREL;FITNESS;EDUCATION;ENTERTAINMENT;FOOD;HEALTH;HOME_GARDEN;TELCOS;TRAVEL
C10109;Female;Single;34;11543.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10113;Male;Single;30;4787.17;9;9445.21;0;0;0;0;0;4388.74;0;0;0;1291.35;2834.69;930.43;0;0
C10117;Female;Single;47;500.08;11;3762.64;469.57;497.01;0;0;0;353.86;0;0;0;2442.2;0;0;0;0
C10118;Female;Single;33;1355.02;6;688.25;0;0;0;400.05;0;0;0;0;0;0;0;0;0;288.2
C10120;Female;Single;21;2151.28;13;1371.19;0;0;0;0;0;232.24;0;0;0;0;53.25;1085.7;0;0
C10121;Female;Single;22;6623.42;48;3073.75;267.97;1370.66;0;0;0;663.91;0;0;0;324.65;201.94;244.62;0;0
C10123;Female;Single;25;138.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10127;Female;Single;22;1365.53;2;1241.5;0;780.59;0;460.91;0;0;0;0;0;0;0;0;0;0
C10130;Female;Single;30;1353.39;23;597.89;326.45;0;0;0;0;184.1;0;0;0;0;87.35;0;0;0
C10132;Male;Single;28;1666.91;13;734.4;41.74;0;0;43.18;0;0;0;0;0;415.86;0;0;0;233.62
C10133;Female;Single;19;3018.57;252;11795.25;786.53;1129.61;0;0;72.25;1602.43;0;0;36.37;4356.23;378.28;2380.74;630.69;422.13
C10134;Female;Single;20;4367.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10137;Male;Single;31;1923.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10140;Male;Single;34;326.96;28;1410.53;847.85;0;0;0;277.51;232.98;0;0;0;0;0;52.19;0;0
C10142;Female;Single;22;1871.63;43;3607.1;73.17;1213.26;0;0;0;943.79;0;0;0;1057.48;0;0;319.4;0
C10148;Male;Single;32;5869.79;5;3515;1260.4;0;0;0;0;2254.6;0;0;0;0;0;0;0;0
C10149;Female;Single;33;872.65;143;4466.48;237.05;537.24;0;441.98;129.88;211.25;0;0;0;2035.8;853.67;19.61;0;0
C10151;Male;Single;33;2207.75;45;3015.13;0;84.77;0;0;0;21.16;0;0;2790.96;0;24.71;0;0;93.53
C10152;Male;Single;39;908.06;12;3424.57;0;127.96;0;0;0;0;0;0;0;0;0;0;3296.61;0
C10153;Male;Single;21;1560.18;42;3379.69;128.97;115.33;0;0;0;1690.38;0;0;0;1035.77;0;409.22;0;0
C10154;Female;Single;33;3391.14;77;2344.9;51.24;79.45;0;0;0;707.04;0;0;105.97;688.81;59.78;325.12;327.49;0
C10159;Female;Single;22;2840.49;25;173.4;0;60.35;0;0;0;113.05;0;0;0;0;0;0;0;0
C10166;Female;Single;19;2948.43;32;21032.81;4340.31;4052.12;0;0;0;7287.71;0;0;0;1084.25;858.36;3410.06;0;0
C10169;Female;Single;20;1045.84;14;1651.24;0;0;0;0;0;0;0;0;0;1651.24;0;0;0;0
C10172;Female;Single;23;1972.66;8;521.59;0;50.43;0;0;0;0;0;0;0;0;217.77;253.39;0;0
C10173;Female;Single;21;1563.2;16;564.38;0;181.54;116.5;74.52;0;191.82;0;0;0;0;0;0;0;0
C10174;Male;Single;20;1304;14;4187.76;0;2401.32;0;1786.45;0;0;0;0;0;0;0;0;0;0
C10177;Female;Single;28;5809.37;37;3797.24;334.54;476.54;197.63;85.67;0;360.16;0;0;0;1776.18;82.68;149.92;0;333.92
C10180;Male;Single;19;1156.97;31;3356.81;0;280.15;0;0;0;385.87;0;0;0;0;0;373.01;2317.79;0
C10183;Female;Single;43;246.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10185;Female;Single;23;5247.08;25;565.6;0;0;0;0;0;203.02;0;0;315.46;0;0;0;0;47.13
C10189;Male;Single;31;6191.81;7;5144.42;0;0;0;0;0;0;0;0;0;0;0;0;5144.42;0
C10191;Female;Single;21;4148.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10193;Female;Single;22;5844.84;13;758.38;0;0;0;0;0;175.99;0;0;0;582.39;0;0;0;0
C10197;Female;Single;38;3158.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10199;Male;Single;34;2709.34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10201;Male;Single;48;1148.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10209;Male;Single;24;906.54;23;297.51;0;84.78;0;0;0;0;0;0;0;0;0;0;0;212.73
C10212;Female;Single;20;6801.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10215;Female;Single;21;1848.71;16;4664.22;0;1327.07;0;0;0;3337.15;0;0;0;0;0;0;0;0
C10218;Male;Single;20;5187.57;42;2176.26;0;174.65;0;0;0;87.08;0;0;618.03;0;0;80.11;182.21;1034.19
C10220;Female;Single;23;948.06;33;2409.16;0;0;0;0;0;252.82;0;0;0;0;0;1244.02;0;912.32
C10223;Male;Single;33;4181.74;46;6758.87;141.75;2171.83;0;0;0;1094.64;0;0;0;1238.51;73.89;2038.25;0;0
C10226;Female;Single;29;256.77;47;1004.67;0;0;120.45;191.34;0;357.47;0;0;0;0;0;0;335.42;0
C10228;Female;Single;19;1266.44;45;1581.61;305.46;301.98;0;178.34;0;314.15;0;0;68.79;226.97;0;0;185.92;0
C10246;Female;Single;30;5804.45;12;3088.17;0;0;0;970.87;0;366.99;0;0;0;1562.63;0;187.67;0;0
C10254;Female;Single;34;3801.68;2;2273.8;0;0;0;0;0;0;0;0;0;2273.8;0;0;0;0
C10264;Female;Single;55;5241.59;29;1144.66;441.25;0;0;0;0;662.24;0;0;0;41.17;0;0;0;0
C10265;Female;Single;21;3014.79;34;1363.56;47.91;0;0;0;0;566.72;0;0;24.76;724.17;0;0;0;0
C10277;Male;Single;21;9387.32;7;9471.99;1338.36;275.23;0;0;0;452.77;0;0;0;0;0;0;0;7405.63
C10278;Female;Single;23;175.69;13;1187.15;143.46;319.52;0;0;0;142.21;0;0;0;0;133.16;448.8;0;0
C10283;Male;Single;20;3810.07;39;11922.9;0;78.34;0;0;0;1216.96;0;0;0;2605.68;0;0;7237.2;784.72
C10284;Male;Single;20;8553.63;79;5598.23;302.47;381.74;0;856.96;22.45;298.27;0;0;0;445.3;109.5;465.74;0;2715.79
C10285;Male;Single;20;6496.91;42;604.37;70.93;0;0;0;0;183.35;0;0;0;207.4;0;23.43;0;119.26
C10287;Male;Single;37;1529.91;7;1102.04;312.39;0;0;385.49;0;264.75;0;0;139.41;0;0;0;0;0
C10288;Female;Single;20;877.35;1;1039.58;0;0;0;0;0;0;0;0;0;0;0;0;0;1039.58
C10289;Female;Single;20;12218.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10294;Female;Single;20;3330.57;66;1594.63;49.82;331.04;0;0;0;682.36;0;0;0;48.13;10.02;473.27;0;0
C10297;Male;Single;21;8617.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10299;Male;Single;32;13821.96;26;9043.57;3531.05;0;0;2738.99;0;1359.86;0;0;794.15;160.58;0;0;0;458.94
C10300;Female;Single;20;1462.33;47;4310.43;620.16;0;128.64;0;0;2502.97;0;0;0;400.51;122.38;535.77;0;0
C10302;Male;Single;37;5246.86;8;5210.97;0;5210.97;0;0;0;0;0;0;0;0;0;0;0;0
C10304;Female;Single;20;319.11;3;1409.86;0;63;0;0;0;0;0;0;0;0;0;0;0;1346.86
C10306;Female;Single;20;4503.96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10307;Male;Single;21;2160.98;20;686.9;0;0;0;0;0;0;0;0;0;0;0;0;686.9;0
C10309;Male;Single;31;9179.32;43;3836.79;410.73;52.35;0;0;0;924.81;0;0;794.48;642.91;256.54;0;754.97;0
C10311;Female;Single;37;69.66;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10315;Female;Single;20;734.76;26;1405;48.33;0;0;663.99;545.22;147.47;0;0;0;0;0;0;0;0
C10316;Female;Single;23;372.4;39;2127.58;0;130.57;0;84.92;0;389.53;0;0;57.29;1109.62;0;355.66;0;0
C10317;Female;Single;29;493.82;63;4697.01;75.14;0;0;0;0;4621.86;0;0;0;0;0;0;0;0
C10320;Female;Single;25;7414.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10323;Male;Single;31;2521.28;50;2060.55;78.62;246.78;0;252.27;0;769.04;0;0;0;63.45;80.33;0;0;570.05
C10324;Female;Single;19;3489.44;16;3043.49;0;180.75;0;597.59;0;1151.05;0;0;0;1114.1;0;0;0;0
C10330;Male;Single;19;3721.96;37;4588.78;1232.46;45.1;0;0;0;1985.73;0;0;0;0;479.44;219.56;0;626.49
C10331;Female;Single;21;400.23;1;7056.68;7056.68;0;0;0;0;0;0;0;0;0;0;0;0;0
C10332;Female;Single;28;2172.21;8;5490.79;0;0;0;0;0;5490.79;0;0;0;0;0;0;0;0
C10334;Male;Single;36;2329.51;25;4725.18;0;0;0;0;0;4725.18;0;0;0;0;0;0;0;0
C10335;Female;Single;25;2807.82;40;8465.42;6191.97;303.26;0;0;0;0;0;0;0;0;0;407.18;792.93;770.07
C10340;Male;Single;19;1094.26;19;2093.1;0;0;0;0;0;2093.1;0;0;0;0;0;0;0;0
C10342;Female;Single;20;130.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10343;Female;Single;25;2815.35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10344;Female;Single;25;230.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10354;Female;Single;25;7107.79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10355;Male;Single;23;7504.63;13;1167.78;0;0;0;1167.78;0;0;0;0;0;0;0;0;0;0
C10360;Female;Single;20;6611.98;43;9293.19;0;1845.08;0;0;0;82.48;0;0;336.15;0;0;1000.15;3230.55;2798.79
C10362;Female;Single;20;2259.27;24;2666.26;389.16;2277.1;0;0;0;0;0;0;0;0;0;0;0;0
C10363;Female;Single;20;1048.17;10;1327.63;0;0;0;0;0;0;0;0;0;0;0;0;1327.63;0
C10364;Female;Single;21;139.57;87;873.32;0;0;0;660.74;0;147.65;0;0;64.93;0;0;0;0;0
C10365;Female;Single;22;13936.33;204;6946.42;923.12;153.09;0;121.44;0;1176.99;0;0;0;1473.96;1889.26;213.43;0;995.13
C10370;Female;Single;21;2153.75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10371;Male;Single;22;15.63;17;555.82;0;555.82;0;0;0;0;0;0;0;0;0;0;0;0
C10372;Female;Single;21;2108.32;8;2573.25;0;2573.25;0;0;0;0;0;0;0;0;0;0;0;0
C10377;Male;Single;22;6180.79;42;2286.87;74.58;0;0;0;0;1099.09;0;0;0;110.39;0;0;0;1002.81
C10378;Female;Single;21;2873.76;75;5415.9;398.7;0;0;0;0;1514.59;0;0;343.15;132.5;0;222.77;2804.19;0
C10379;Female;Single;21;490.74;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10380;Female;Single;21;3143.19;19;3967.83;1825.41;0;0;0;0;543.55;0;0;0;1598.87;0;0;0;0
C10381;Female;Single;19;414.99;7;862.99;0;388.66;0;0;0;264.68;0;0;0;209.64;0;0;0;0
C10384;Male;Single;20;1787.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10386;Male;Single;21;395.16;47;2243.42;0;280.83;0;0;51.86;109.81;0;0;0;260.29;0;693.56;683.92;163.15
C10388;Female;Single;21;5005.34;29;8960.03;0;0;0;0;430.87;632.79;0;0;0;7010.23;0;0;0;886.14
C10391;Male;Single;23;4096.47;127;4759.19;380.01;26.25;0;0;0;1021.11;0;0;0;3057.39;156.59;25.85;0;91.99
C10392;Male;Single;22;1879.06;117;1637.24;430.02;15.13;0;103.83;0;585.68;0;0;307.38;0;153.84;0;41.36;0
C10395;Female;Single;19;421.24;38;677.88;19.37;161.3;0;0;0;302.36;0;0;0;97.78;0;97.08;0;0
C10397;Female;Single;21;3654.85;11;1749.49;443.58;0;0;0;0;115.85;0;0;0;0;0;1190.06;0;0
C10399;Female;Single;21;3047.49;96;15972.08;0;304.98;0;0;0;0;0;0;0;0;2276.59;0;13271.05;119.46
C10400;Male;Single;19;553.12;40;4600.7;151.28;806.07;0;1309.37;0;107.28;0;0;0;381.97;0;0;0;1844.73
C10402;Female;Single;19;412.94;19;1369.03;38.61;45.99;112.37;0;0;0;0;0;0;216.95;213.29;150.42;591.4;0
C10403;Female;Single;19;1422.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10405;Female;Single;21;282.83;23;2821.62;0;0;0;0;0;0;0;0;0;0;0;0;2821.62;0
C10406;Male;Single;21;8903.6;108;4714.58;300.75;266.93;0;428.66;29.28;433.73;14.78;0;33.82;969.84;452.11;67.05;1304.78;412.86
C10407;Male;Single;22;868.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10415;Female;Single;20;2054.91;7;5570.7;4301.75;291.83;0;977.12;0;0;0;0;0;0;0;0;0;0
C10420;Female;Single;19;4812.73;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10422;Male;Single;47;2712.87;41;1305.55;65.73;230.92;0;0;0;558.41;0;0;0;379.04;0;71.45;0;0
C10423;Female;Single;21;1865.82;36;654.95;0;654.95;0;0;0;0;0;0;0;0;0;0;0;0
C10424;Male;Single;19;1019.01;130;8703.77;304.79;177.56;50.87;70.34;137.57;1988.68;0;0;1957.43;1697.93;95.05;735.27;1488.28;0
C10425;Female;Single;21;1206.32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10428;Male;Single;37;12305.2;89;5971.08;111.81;48.91;0;1125.93;115.61;124.8;0;0;0;1592.49;400.7;0;2450.83;0
C10429;Female;Single;20;128.59;32;1894.07;216.25;474.58;0;0;0;680.21;0;0;20.14;0;0;127.05;375.83;0
C10430;Male;Single;21;4106.57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10432;Male;Single;19;628.71;22;1308.15;0;310.91;0;0;0;389.91;0;0;0;0;0;0;211.03;396.3
C10433;Female;Single;21;335.76;41;1638.36;0;111.3;0;0;0;1527.06;0;0;0;0;0;0;0;0
C10434;Male;Single;24;534.06;61;463.51;19.14;0;0;0;0;0;0;0;0;0;0;0;444.37;0
C10435;Male;Single;21;1054.34;3;775.45;0;0;0;0;0;0;0;0;0;775.45;0;0;0;0
C10437;Female;Single;25;2466.38;11;1186.64;53.24;0;0;0;0;0;0;0;0;0;0;1133.4;0;0
C10440;Male;Single;20;3429.66;75;4294.31;631.35;109.03;0;0;109.46;1439.35;0;0;27.22;0;390.98;338.58;1248.34;0
C10445;Female;Single;21;3196.23;36;874.17;60.5;41.06;0;151.07;0;88.17;0;0;40.75;435.88;0;0;56.74;0
C10446;Female;Single;25;5586.39;119;2583.52;266.45;0;0;0;0;1595.59;0;0;0;661.46;41.41;18.6;0;0
C10447;Female;Single;22;1211.02;57;1060.97;0;35.06;0;0;0;26.19;0;0;0;361.44;0;638.28;0;0
C10448;Male;Single;20;481.98;90;1369.33;0;197.14;0;90.24;0;324.52;0;0;0;310.65;0;138.38;308.39;0
C10449;Male;Single;22;1041.44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10450;Male;Single;21;2689.88;3;19651.69;0;0;0;0;0;19651.69;0;0;0;0;0;0;0;0
C10454;Male;Single;20;1187.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10456;Male;Single;39;446.26;119;1485.82;156.45;229.67;0;0;27.02;368.85;0;0;0;495.69;0;0;0;208.15
C10459;Female;Single;22;437.8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10460;Male;Single;22;4317.81;55;651.5;0;109.03;0;0;0;0;0;0;0;0;0;0;542.48;0
C10461;Male;Single;24;2708.05;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10462;Female;Single;25;2336.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10463;Male;Single;24;4800.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10465;Female;Single;20;5760.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10466;Female;Single;20;356.39;14;3803.68;0;46.52;0;0;0;0;0;0;0;419.64;0;0;3337.51;0
C10467;Female;Single;20;6753.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10468;Male;Single;20;11065.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10469;Female;Single;26;1380.56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10471;Male;Single;23;1784.49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10472;Female;Single;23;2725.41;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10475;Female;Single;23;774.91;4;1404.61;148.18;0;0;0;0;1256.43;0;0;0;0;0;0;0;0
C10478;Male;Single;25;857.12;6;421.11;0;0;0;0;0;85.86;0;0;0;49.44;0;285.81;0;0
C10482;Female;Single;22;284.5;3;1963.32;0;0;0;1963.32;0;0;0;0;0;0;0;0;0;0
C10484;Female;Single;22;40.54;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10486;Female;Single;22;577.41;44;3635.25;565.22;0;57.69;0;0;3012.34;0;0;0;0;0;0;0;0
C10488;Male;Single;23;6388.27;81;2155.89;266.28;0;0;0;0;1112.42;0;0;0;0;537.38;0;102.31;137.49
C10490;Female;Single;22;5434.34;32;531.82;0;0;0;0;0;286.92;0;0;0;0;0;0;0;244.89
C10492;Female;Single;22;2034.89;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10493;Female;Single;20;133.52;33;784.77;0;73.18;0;38.71;0;19.49;0;0;0;174.54;0;140.58;338.27;0
C10497;Female;Single;35;2056.5;5;812.28;0;595.47;0;0;0;123.06;0;0;3.3;0;0;0;0;90.45
C10498;Female;Single;21;293.08;47;724.89;59.02;24.49;0;0;0;373.02;0;0;0;0;0;268.36;0;0
C10499;Female;Single;21;258.52;64;2482.08;140.11;33.9;0;0;66.51;1194;0;0;0;740.45;145.35;161.76;0;0
C10500;Female;Single;22;5141.44;11;2749.66;0;0;0;0;0;0;0;0;0;0;0;2749.66;0;0
C10502;Female;Single;22;571.91;11;1285.19;283.6;58.81;0;0;0;942.78;0;0;0;0;0;0;0;0
C10503;Male;Single;30;1864.61;14;1123.76;0;337.62;0;0;0;490.54;0;0;0;295.6;0;0;0;0
C10504;Female;Single;26;4559.06;33;1879.59;0;492.38;0;0;114.35;404.56;0;0;608.99;47.15;212.17;0;0;0
C10506;Female;Single;22;5207.14;24;1556.14;178.39;0;0;0;0;1215.06;0;0;0;0;41.66;0;0;121.02
C10507;Female;Single;22;4425.67;114;7841.98;560.51;151.05;0;0;0;1086.25;0;0;3893.62;604.93;0;628.09;302.23;615.32
C10510;Male;Single;24;208.61;16;1830.93;0;0;0;1198.54;0;235.51;0;0;0;0;0;0;396.87;0
C10512;Male;Single;20;468.57;79;5861.99;804.35;0;0;0;0;3770.62;0;0;138.14;510.69;380.12;258.06;0;0
C10514;Male;Single;22;7272.28;9;6585;284.78;0;0;0;0;3421.58;0;0;0;1591.63;0;0;1287.01;0
C10517;Female;Single;23;8710.61;8;773.56;0;0;0;752.5;0;21.06;0;0;0;0;0;0;0;0
C10519;Female;Single;22;311.62;41;754.74;41.81;0;0;0;0;712.93;0;0;0;0;0;0;0;0
C10520;Male;Single;22;1445.13;7;1388.76;1388.76;0;0;0;0;0;0;0;0;0;0;0;0;0
C10524;Female;Single;21;6315.33;21;4900.74;115.38;976.65;0;57.77;0;1737.66;0;0;0;0;0;0;0;2013.28
C10525;Female;Single;22;604.28;88;624.88;26.7;196.78;0;0;0;207.31;0;0;0;51.13;113;29.95;0;0
C10526;Female;Single;20;5461.2;15;5978.1;0;3770.1;0;0;0;2208.01;0;0;0;0;0;0;0;0
C10527;Male;Single;27;3945.46;9;936.14;0;384.24;0;0;0;0;0;0;0;323.34;86.06;142.49;0;0
C10530;Male;Single;21;5405.92;26;2844.22;0;0;0;230.35;0;0;0;0;0;0;0;0;2613.87;0
C10535;Male;Single;31;2582.02;24;2576.9;57.51;384.16;0;0;70.16;347.24;0;764.63;52.81;0;0;0;0;900.39
C10537;Female;Single;21;4081.73;8;1900.83;0;0;0;246.54;0;0;0;0;0;0;0;0;76.85;1577.44
C10538;Male;Single;26;2203.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10539;Male;Single;22;19.24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10541;Female;Single;23;8795.46;14;7208.97;0;0;0;0;0;2628.54;0;0;463.88;77.53;96.73;3627.36;0;314.94
C10544;Male;Single;22;2763.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10549;Female;Single;21;1637.6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10552;Female;Single;26;557.31;54;3042.97;0;325.97;0;0;0;0;0;0;0;0;0;0;2717.01;0
C10553;Female;Single;21;12820.63;132;2527.6;155.65;344.28;0;0;22.15;818.76;0;0;16.69;161.17;0;61.36;947.53;0
C10555;Female;Single;24;6574.3;5;9051.1;0;0;0;9051.1;0;0;0;0;0;0;0;0;0;0
C10556;Male;Single;21;189.83;22;1291.52;314.4;0;0;0;101.6;0;0;0;0;0;0;0;484.35;391.16
C10557;Female;Single;22;363.93;102;2549.95;100.49;1186.61;0;0;0;571.01;0;0;0;0;0;691.84;0;0
C10558;Female;Single;23;273.42;50;796.85;64.63;16.99;0;0;0;715.23;0;0;0;0;0;0;0;0
C10563;Male;Single;22;2758.8;75;4135.25;121.42;434.3;0;452.74;0;650.45;0;49.55;0;0;0;0;626.19;1800.61
C10564;Female;Single;22;2996.06;23;1328.02;48.34;138.58;0;0;0;0;0;0;282.53;0;184.39;0;0;674.18
C10567;Female;Single;23;414.91;48;2418.08;179.14;116.19;95.88;0;0;112.02;0;0;0;0;112.69;175.15;0;1627.01
C10571;Male;Single;21;499.41;34;3491.61;0;0;0;75.02;339.36;0;76.57;0;0;0;0;0;2201.11;799.56
C10572;Male;Single;21;445.46;12;5283.32;0;0;0;0;29.96;304.9;0;0;0;78.67;0;1166.95;0;3702.84
C10574;Female;Single;22;2882.75;7;2069.79;180.5;0;0;0;0;326.11;0;0;0;414.4;0;1148.78;0;0
C10575;Male;Single;23;1830.67;218;4352.7;216.26;10.32;290.35;1634.27;98.25;326.95;0;16.28;57.27;0;210.05;1025.3;467.4;0
C10576;Male;Single;23;1932.65;58;3692.03;0;35.68;0;290.52;0;241.71;0;0;0;864.45;577.02;137.94;423.15;1121.55
C10577;Female;Single;22;1275.63;21;1777.37;39.9;518.81;0;0;0;166.88;0;0;0;94.14;0;407.24;0;550.39
C10578;Female;Single;24;2241.7;39;1887.65;436.37;58.81;0;0;0;1392.47;0;0;0;0;0;0;0;0
C10580;Female;Single;23;5240.71;35;940.43;0;940.43;0;0;0;0;0;0;0;0;0;0;0;0
C10583;Female;Single;22;3833.99;11;1072.49;0;0;0;0;0;0;0;0;0;0;0;0;1072.49;0
C10584;Male;Single;27;5395.28;79;5617.4;311.96;1232.26;0;61.25;0;1054.94;0;0;40.37;2685.82;230.78;0;0;0
C10585;Male;Single;22;7164.82;6;2908.48;2908.48;0;0;0;0;0;0;0;0;0;0;0;0;0
C10586;Male;Single;21;2243.23;148;17711.42;713.86;862.11;0;2616.89;4521.99;1638.63;0;0;0;3715.12;301.21;0;3341.61;0
C10587;Female;Single;27;794.02;73;2017.66;168.21;0;24.13;0;0;1135.42;0;0;0;58.27;183.93;63.88;0;383.83
C10588;Female;Single;29;7637.27;57;3951.36;945.04;0;0;0;53.66;2583.13;0;0;129.82;0;162.32;0;0;77.4
C10589;Female;Single;27;3074.48;4;1556.85;0;0;0;0;0;1095.54;461.31;0;0;0;0;0;0;0
C10590;Female;Single;20;6415.38;152;10594.48;562.5;120.77;0;35.64;41.32;1238.01;0;0;623.37;5965.13;42.97;39.43;133.75;1791.6
C10591;Female;Single;21;2704.19;9;3114.69;0;0;0;0;0;0;0;0;0;0;0;3114.69;0;0
C10597;Female;Single;23;6420.28;22;30.18;0;0;0;0;0;30.18;0;0;0;0;0;0;0;0
C10607;Female;Single;24;1198.09;98;4675.96;525.88;340.22;0;43.35;22.34;1661.04;0;0;0;931.06;19.89;55.08;821.52;255.58
C10608;Female;Single;21;562.57;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10611;Male;Single;21;404.19;50;1973.69;18.44;25.3;0;208.05;0;93.49;0;0;0;481.23;0;467.04;680.15;0
C10612;Female;Single;25;299.22;26;3407.47;37.22;0;0;0;44.04;1629.26;0;0;639.95;0;14.85;0;0;1042.15
C10614;Female;Single;30;6075.87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10616;Female;Single;22;9712.9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C10617;Male;Single;21;732.32;20;3027.24;0;1789.97;0;0;0;1237.26;0;0;0;0;0;0;0;0
C10618;Male;Single;27;7738.57;88;3343.15;41.6;0;0;298.88;0;195.6;0;0;0;1347.91;87.52;120.57;0;1251.08
